Abbreviation,Meaning,Example
ም/ጠ/ሚ,ምክትል ጠቅላይ ሚኒስትር,የቀድሞው ም/ጠ/ሚ ታምራት ላይኔ /ዛሬ ወህኒ በጨለማ ቤት በእስር ላይ ይገኛሉ/ ጉና ተራራን ለመመረቅ በሄዱበት ወቅት ብጽዕ አቡነ ኤልሳዕ በደቡብ ጐንደር በርካታ አብያተ ቤተክርስቲያናት ስለተቃጠሉብን ብለው ማሰሪያ ገንዘብ እንዲሰጣቸው ይጠይቃሉ። አቶ ታምራትም ከቡና ቦርድ ቡና አውጥተው በመሸጥ በትርፉ ቤተክርስቲያኑ እንዲሰራ ይፈቅዳሉ። በዚህም በም/ጠ/ሚኒስትሩ ትእዛዝ አቶ ጉልላት ጥላሁን የአቶ ታምራት ልዩ ረዳት ፀሐፊያቸው አማካይነትም ቡናው እንዲወጣ ይፈቅዳል። ጳጳሱ አቡነ ኤልሳዕም ዲያቆን ደሳለኝ ፈንቴ የተባለውን ከአቶ ታምራት ጋር ካለው ቅርበት አኳያ ቡናውን እንዲረከብ ይወከላል። ከዲያቆን ደሳለኝ ጋር አብረው ቡናውን እንዲያወጡ አቶ ታደሰ ሃዲስ የተባሉት አብረው ይላካሉ።
ም/ጠ/ሚ/ሩ,ምክትል ጠቅላይ ሚኒስትሩ,ጥያቄ፦ም/ጠ/ሚ/ሩ በማዳበሪያ ገበያ መንግስት ጣልቃ አልገባም፣ ብለዋል። ምን አስተያየት አለዎት?
ም/ጠ/ሚ/ር,ምክትል ጠቅላይ ሚኒስትር,ም/ጠ/ሚ/ር እና የገጠር ልማት ሚ/ር አቶ አዲሱ ለገሠ ባለፈው ሐሙስ ለም/ቤት ባቀረቡት ሪፖርት መስሪያ ቤታቸው ባለፉት ጥቂት ወራት ለገበሬው በቂ ማዳበሪያ የሚያገኝበትን መንገድ ማመቻቸቱን ገልፀዋል። ነገር ግን በም/ቤቱ የመአህድ ተወካይ የሆኑት ክብሩ አቶ አድማሱ መላኩና ሌሎችም አባላት የማዳበሪያ ስርጭቱና የሕወሐት የንግድ ድርጅቶች ተቆጣጥረውት አንጋፋ የነበሩ ማዳበሪያ አቅራቢ የግል ድርጅቶች ከገበያ መውጣታቸውን አስረድተዋል። በምሳሌነትም የኢትዮጵያ አማልጋሜትድ ሊሚትድን ጠቅሠዋል።
ም/ጠ/ሚ/ርነት,ምክትል ጠቅላይ ሚኒስትርነት,በሽግግሩ ወቅት ጠ/ሚ/ር በኢፌዴሪ ምስረታ ወደ ም/ጠ/ሚ/ርነት ዝቅ ያሉትና በመጨረሻም ወደ እስር ቤት የተወሰዱት ታምራት ላይኔ ከሥልጣን በይፋ ሊወገዱ የሳምንታት እድሜ ሲቀራቸው ዛቻና ማስፈራሪያ ደርሶባቸው እንደነበር ከመግለጻቸውም ባሻገር ይኸው ሁኔታ ከዓመት ከሰባት ወራት በኋላ በማገርሸት በጥፊ እስከመመታት መድረሳቸውን ተናገሩ። የወህኒ ቤቱ ኃላፊም ስለጉዳዩ እንዲያስረዱ ፍ/ቤቱ በነገው ዕለት እንዲቀርቡ መጥሪያ ልኳል።
ም/ጠ/ሚ/ርና,ምክትል ጠቅላይ ሚኒስትርና,በሌላ በኩል የየመኑ ም/ጠ/ሚ/ርና የውጭ ጉዳይ ሚ/ር የሆኑት ሚ/ር አብዱል ቀድር አባ ጅማ ከትናንት በስቲያ አዲስ አበባ የገቡ ሲሆን አመጣጣቸውም በክልልና ዓለምአቀፋዊ ጉዳዮች ላይ ለመካከር መሆኑ ከግብፅ የሚተላለፈው የአፍሪካ ድምፅ ከካይሮ ዘግቧል።
ም/ጠ/ሚርና,ምክትል ጠቅላይ ሚኒስትርና,የቀድሞው ም/ጠ/ሚርና መከላከያ ሚ/ር አቶ ታምራት ላይኔ የመንግሥትን ሥልጣን መከታ በማድረግ አላግባብ በመበልፀግ ሕገ ወጥ ተግባር ፈፅመዋል ተብለው ከሌሎች አባሪዎቻቸው ጋር ዓቃቤ ሕግ ክስ መስርቶባቸዋል።
ም/ጠ/ሚኒስትሩ,ምክትል ጠቅላይ ሚኒስትሩ,አቶ አዲሱ እንዳሉት ለትንበያው መነሻ የሆኑትን የልደት መጠን እና ዓመታዊ የህዝብ ዕድገት መጠን ዝርዝር እንደገና በማየትና ሳይንሳዊ በሆነ መንገድ በናሙና በተመረጡ የቆጠራ ቦታዎች የድህረ ቆጠራ ሥራ በማከናወን የሽፋን ችግር አለመከሰቱ ተረጋግጧል። ቆጠራ በመስክ የተከናወነው በክልሎች በኩል በተመረጡ መምህራን መሆኑንና እያንዳንዱ ወረዳና ቀበሌ ሥራ በትክክል መከናወኑን የክልሉ ኮሚሽን ማረጋገጡን የገለፁት ም/ጠ/ሚኒስትሩ በቆጠራው ወቅት የሽፋን ክፍተት በተደረገው የድህረ ቆጠራ በክልል ውጤቱን ሊያስቀይር የሚችል የሽፋን ክፍተት እንደሌለ መታወቁን አስረድተዋል።
ም/ጠ/ሚኒስትር,ምክትል ጠቅላይ ሚኒስትር,የፓርቲው ም/ሊቀመንበርና የአገሪቱ ም/ጠ/ሚኒስትር የነበሩ ሰው በድርጅታቸው ውስጥ ኩዴታ እንደሚካሄድ፣ ዜጐችን የሚያስርና እንዳሻው የሚያደርግ ፓርቲው መሆኑ፣ ተደጋጋሚ ማስፈራሪያ በቤተሰባቸው ላይ እንደሚደርስ፣ እንዲሁም እህታቸውና የእህታቸው ባለቤት የአንድ ዓመት ህፃን ያለጠባቂ ትተው 5 ወር ሙሉ ያለወንጀልና ያለፍርድ ቤት ትዕዛዝ እንደታሰሩ፣ አሮጊት እናታቸውንና ህፃን ልጃቸውም ሊታሰሩ እንደሚችሉ ማስጠንቀቂያ እንደተሰጣቸው አጋልጠዋል።
ም/ጠ/ሚኒስትርነት,ምክትል ጠቅላይ ሚኒስትርነት,ፓርላማው ከትናት በስቲያ ሰኞ የም/ቤቱን አፈ-ጉባኤ የመረጠ ሲሆን፣ የወጣቶች ባህልና ስፖርት ሚኒስትር የነበሩት አቶ ተሾመ ቶጋ አፈ-ጉባኤ እንዲሆኑ የንግድና ኢንዱስትሪ ሚ/ር ግርማ ብሩ በጠቆሙት መሠረት አቶ ተሾመ አፈ ጉባኤ ሆነው ሲመረጡ፣ ወ/ሮ ሽታዬ ምንአለ የተባሉት ደግሞ ምክትል አፈ ጉባኤ ሆነው ተሹመዋል። የቀድሞው ፓርላማ አፈ ጉባኤ ዳዊት ዮሀንስ ከአማራ፣ ምክትል አፈ ጉባኤ ጴጥሮስ ኦላንጐ ከወላይታ እንደሆኑት ሁሉ አሁንም ሁለቱ አፈ-ጉባኤዎች ከወላይታና ከአማራን አቻው፣ አሁን ዋናው ለወላይታ፣ ምክትሉ ለአማራ ሆኗል። ጠ/ሚ/ርነት በቋሚነት ለትግራይ፣ ፕሬዚዳንትነት ደግሞ በተመሳሳይ ለኦሮሞ፣ ም/ጠ/ሚኒስትርነት ለአማራ ሆኖ መቀጠሉ ይታወቃል። ትናንት ፓርላማ ውስጥ የኦሮሞ ህዝብ ከብዛቱና ክቁትሩ አንጻር ወሳኝ የስልጣን ቦታዎችን ተነፍጓል የሚል ተቃውሞ ከተቃዋሚዎች ዘንድ የተሰነዘረ ሲሆን፣ ኦሮሞ ጠ/ሚ/ር የማይሆነው ለምንድን ነው? የሚል ጥያቄም ተነስቷል። እንደው ሌላው ቢቀር ም/ጠ/ሚኒስትርነት ለምን እንነፈጋለን? የሚል ተቃውሞ የተነሳ ቢሆንም፣ በኦህዴድ በኩል ኦሮሞ ስልጣን አንሶታል የሚል ጥያቄ ያነሳ የለም።
ም/ጠ/ሚኒስትርና,ምክትል ጠቅላይ ሚኒስትርና,በኡጋድጉ የተደረገው ስብሰባ ውጤት አልባ ከሆነ በኋላ አሜሪካዊው አደራዳሪ ሚ/ር አንቶኒ ሌክ አዲስ አበባ ላይ ከጠ/ሚኒስትር መለስና ከሃይማኖት አባቶች ጋር ከተነጋገሩ በኋላ ባለፈው ሐሙስ ወደ አስመራ ሲጓዙ የዚያኑ ዕለት የየመኑ ም/ጠ/ሚኒስትርና የውጭ ጉዳይ ሚኒስትር አብዱል ቀድር አባጀማ አዲስ አበባ ገብተዋል።
ም/ጠ/ሚንስትር,ምክትል ጠቅላይ ሚንስትር,ሼክ አላሙዲን የሚያስተዳድሩት ሚድሮክ ኢትዮጵያ ንብረትነቱ የሳዑዲ አረቢያው ም/ጠ/ሚንስትር እና መከላከያ ሚንስትር የሆኑት ሱልጣን አብዱል አዚዝ መሆኑን አድማስ ጋዜጣ በቅፅ 2 ቁ.5 እትሙ አሳወቀ። ዘገባው ቀጥሎ ቀርቧል።
ም/ጠቅላይ,ምክትል ጠቅላይ,ትናንት ከእነአቶ አባተ ኪሾ ጋር ክስ የተመሰረተባቸው አቶ ኃይሉ የቀድሞው መከላከያና ም/ጠቅላይ ሚኒስትር ከ3 ዓመት በፊት ክስ በቀረበባቸው ወቅት ከእሳቸው ጋር የተከሰሱና በኋላም ተፈርዶባቸው ወህኒ እንደሚገኙ ይታወቃል። በተባበሩት መንግሥታት ድርጅት የኢትዮጵያ ቋሚ መልዕክተኛ የነበሩት የአምባሳደር ዱሪ መሀመድ ልጅ አቶ ሙኒር ዱሪ በእነአባተ ኪሾ መዝገብ ክስ ከቀረበባቸው መካከል አንዱ ሲሆኑ ከዚህ ቀደምም ከም/ጠ/ሚኒስትር ታምራት ላይኔን ከወ/ሮ ሻዕዲያ ናዲም ጋር ተከሰው የታሰሩና ፍርድ ሲሰጥም የታሰሩበት 3 ዓመት በቂ ሆኖ ከወህኒ መውጣታቸው ይታወቃል። ከወህኒ ከወጡ በኋላ ከአገር መውጣታቸውን አንዳንድ ወገኖች የሚገልፁ ሲሆኑ በትናትናው ዕለትም ፍ/ቤት አለመቅረባቸው ታውቋል።
ም/ጸሐፊ,ምክትል ጸሐፊ,ባለፉት ሁለት ሳምንታት ቄስ ብርሃኑ ኦፍጋአ የማዕከላዊ ኢትዮጵያ ሲኖዶስ ፕሬዚዳንት፣ በወረዳ 11 ለአንድ ቀን ታስረው ሲፈቱ፣ በ11/8/91 አቶ ፈቀደ ተፈራ የሲኖዶሱ ጸሐፊና አቶ ታምራት ደምሴ የሲኖዶሱ ም/ጸሐፊ ቃል ከሰጡ በኋላ በዋስ ተለቀዋል። ይኸው የጉለሌ ቤቴልና የእንጦጦ ማሕበራነ ምዕመናን ውዝግብ በውጭ አገር ያሉትንም ጨምሮ ወደሌሎችም አካባቢዎች እየተዛመተ በመሆኑ ከኮተቤም ሰዎች በዚሁ ሰሞን እየታሠሩ ተፈተዋል።
ም/ፀሐፊው,ምክትል ፀሐፊው,የድርጅቱ ማኔጅመንት በዚህ ሳይገታ የማህበሩን ም/ዋና/ፀሐፊ ከስራ እንዲባረሩ የማህበሩ ሊ/መንበርና ም/ፀሐፊው የስድስት ወር የግዳጅ እረፍት እንዲወጡ በማድረግ የሰራተኛ ማህበሩን ለማሽመድመድ የሚደረገው ጥረት ተጠናክሮ መቀጠሉን ከስፍራው ቅርበት ያላቸው ወገኖች ይገልፃሉ።
ም/ፕ/ት,ምክትል ፕሬዚዳንት,የኢሕአዴግን አመራር በመቃወም ባለፈው ሳምንት ቅዳሜ ኢትዮጵያውያን በለንደን ከፍተኛ የተቃውሞ ሰልፍ ማድረጋቸው ተገለፀ። አቶ አሰፋ ማሩ የተገደሉበትን 2ኛ ዓመት መንስኤ በማድረግ አደባባይ ለወጡት በርካታ ኢትዮጵያውያን የብሪታኒያ መምህራን ማህበር ም/ፕ/ት ሚ/ር እስቲቨኝ ሺኖድና በስደት ላይ የሚገኙት የኢመማ ዋና ፀሐፊ አቶ ገሞራው ካሳ ንግግር ማድረጋቸውን ዜናው አመልክቷል።
ም/ፕ/ዋና,ምክትል ፕሬዚዳንት ዋና,ይህ የእንግሊዝ መምህራን ማኅበር ም/ፕ/ዋና ፀሐፊ የአቶ አሰፋ ማሩ በጠራራ ፀሐይ ላይ መገደል መልስ እስኪያገኝ፣ ዶ/ር ታዬ ከእስር ቤት እስኪፈቱ፣ አት ገሞራው ካሣ ከስደት እስኪመለስ፣ በኢትዮጵያ የሰብዓዊ መብት ገፈፋ ቆሞ የሰራተኛ መብት እስከሚከበር ድረስ ማንኛውም ኢትዮጵያዊ በእንግሊዝ መምህራን ማኅበር ከሠራተኞች ማኅበር እንዲሁም ከአንጋፋው የኢትዮጵያ መምህራን ማኅበር ጐን መሰለፍ አለብን በማለት ጥሪ አቅርበዋል።
ም/ፕሬዘዳንት,ምክትል ፕሬዘዳንት,"የኢትዮጵያ ንግድ ምክር ቤት አባላት በጊዜያዊ ፀብ ተነሳስተው የግለሰቦችን ስብዕና የሚነካ መግለጫዎችን በማውጣታቸውም ትዝብት ላይ ሳይጥላቸው እንዳልቀረ የብዙዎች አስተያየት ነው። አቶ ሚካኤል አስፍሃ ለኢ/ን/ምክር ቤት ም/ፕሬዘዳንት በግልፅ ደብዳቤያቸው ""የንፁሃን ዜጐችን መብት በመግፈፍ ኤርትራዊ ነው ማለት ወንጀል ነው ማለታቸውም እዚህ ላይ የሚጠቀስ ነው።"
ም/ፕሬዚዳንት,ምክትል ፕሬዚዳንት,"በዚሁ መሠረት ትናንት በ08/07/95 ፍርድ ቤት የቀረቡት የኮንፌዴሬሽኑ ም/ፕሬዚዳንት አቶ ዘነበ ከበደ የፍርድ ቤትን ትዕዛዝ ለምን እንዳልፈፀሙ ተጠይቀው""... ስብሰባ ላይ ነበርን፤ ሥራ አስፈፃሚ ኮሚቴው አይቶ ለሕግ አማካሪ መመራት ነበረበት፤ መዝገብ ቤት ገባ እንጂ ለእኛ አልደረሰንም"" የሚሉ ምክንያቶችን በመደርደር የኮንፌዴሬሽኑን ጥፋት ለማስተባበል ሞክረዋል።"
ም/ፕሬዝዳንት,ምክትል ፕሬዝዳንት,በ1983 ለም ኢትዮጵያ ማህበር መስራችና እስካሁን የቦርዱ ም/ፕሬዝዳንት
ም/ፕሬዝዳንትነት,ምክትል ፕሬዝዳንትነት,የመላው ዐማራ ሕዝብ ድርጅት ተ/ም/ፕሬዝዳንት የሆኑት ቀኛዝማች ነቅዓጥበብ በቀለና ተከታዮቻቸው በተሠጠው ውሳኔ መሠረት ከድርጅቱ ም/ፕሬዝዳንትነት የተባረሩት አቶ ልዑልሰገድ ዘውዴ ናቸው።
ምጠ/ሚ/ር,ምክትል ጠቅላይ ሚኒስትር,አዲሱ ፓርላማ በትናትናው ዕለት ውሎው ጠ/ሚ/ር መለስ ዜናዊን በድጋሚ ለጠ/ሚኒስትርነት መርጧል። ጠ/ሚ/ር መለስን በድጋሚ ጠ/ሚ/ር እንዲሆኑ የመረጡት ምጠ/ሚ/ር ዶ/ር ካሱ ኢላላ ነበሩ። የጠ/ሚ/ር መለስን ሹመት 4 የም/ቤት አባላት ሲቃወሙት ቀሪዎቹና በዕለቱ የነበሩት 503 የም/ቤት አባላት ደግፈውታል።
ሥ/ሥ/ቁ,ሥነ ሥርዓት ቁጥር,አራጋው አሰፋው፣ አይተን ካሣ እና ጌቱ ወልዴ የተከሰሱበት የወ/መ/ሥ/ቁ በመቀየሩና፣ የተቀየረው ሥ/ሥ/ቁ ዋስትና ስለማይከላከል የዋስትና መብት እንዲፈቀድላቸው ጠበቆቻቸው ለፍርድ ቤቱ ሲያመለክቱ ዐቃቤ ሕግ ቢቃወምም ፍርድ ቤቱ ውድቅ አድርጎ የዋስትና መብታቸውን ጠብቆላቸዋል።
ሥ/አ/ኮ,ሥራ አስፈፃሚ ኮሚቴ,የኢዴፓ ሊቀመንበር፣ ም/ሊቀመንበርና ዋና ፀሐፊ የኢዴአፓ ፕሬዚዳንት፣ም/ፕሬዝዳንት እና ዋና ፀሐፊ ተብለው ባሉበት እንዲቀጥሉ ፓርቲዎቹ ተስማምተዋል። ለኢዴኅፓ አመራር አባላት ውስጥ 1ኛ/ የውጭ ጉዳይ ኃላፊ፣ 2ኛ የፖለቲካ ጉዳይ ኃላፊ፣ 3ኛ/ የህዝብ ግንኙነት፣ የፕሮፖጋንዳና ቅስቀሳ ኃላፊ፣ 4ኛ/ የማህበራዊ ጉዳይ ኃላፊ የውህደቱ የሥራ አስፈፃሚ ኮሚቴ አባላት በመሆን ከዘጠኙ የኢዴፓ ሥ/አ/ኮ አባላት ጋር ተቀላቅለው እንዲሰሩ የተወሰነ ሲሆን፣ በዚህ መሠረት የውህደቱ የሥራ አስፈፃሚ ኮሚቴ አባላት ቁጥር ወደ 13 ከፍ እንዲል ተደርጓል።
ሥ/አስኪያጅ,ሥራ አስኪያጅ,ም/ሥ/አስኪያጅና የቦርዱ ሊ/መንበር በመሆን የሚያገለግሉትም ግለሰብ ከሥራ አስኪያጅ ጋር የቅርብ ትስስር ያላቸውን ከአለቃቸው ጋር በቀላሉ በመወዳጀት ለጥቅም በሚያደርጉት ጥድፊያ በሠራተኛው ዘንድ በክፉ ዓይን የሚታዩ መሆናቸውን ሠራተኞች ይናገራሉ። እኚሁ የባንኩ አመራሮች ብዙሃኑን ሠራተኛ ዕድሜ ወዘተ እያሳበቡ ትምህት በመንፈግ እነርሱ ዕድሜያቸውን ቀንሰው እስከ 15ሺህ ዶላር እየተከፈለላቸው በመማር ላይ መሆናቸውን ይናገራሉ። በህክምናም ረገድ ብዙሃኑ ሠራተኛ ሁለትና ሶስት ቀን ቢቀር ልግም ነው እየተባለ ሲወነጀል ም/ሥ/አስኪያጅ በጥቁር አንበሳ ሆስፒታል ለ6 ወር አንደውም እንግሊዝ ሀገር ለ3 ወር በውጭ ምንዛሪ ሕክምና መውሰዳቸውን ይገልጣሉ። የዓለም ባንክና ዓለም አቀፍ የገንዘብ ድርጅት በጣለባት ግዴታ መሠረት በተካሄደው የመዋቅር ለውጥ ሥ/አስኪያጅ 3400 ብር መምሪያ ኃላፊዎች 2800 ብር የዋና ክፍል ኃላፊዎች ደግሞ 2150 ብር ሲመደብላቸው የቅርንጫፍ ሥ/አስኪያጆችን ጨምሮ በአጠቃላይ 70 ያህል ሰዎች የደሞዝ ዕድገት ሲደረግላቸው በሌላው 830 የድርጅቱ ሠራተኛ ያለአስተዋፅኦ መቅረቱንም ሠራተኞቹ በማማረር ይገልፃሉ። መንግሥት ጉዳዩን ትክረት ሰጥቶ እርምጃ እንዲወስድና ህልውናውን እንዲጠበቅ ሠራተኞች ጠይቀዋል።
ሥ/አስኪያጆችን,ሥራ አስኪያጆችን,ም/ሥ/አስኪያጅና የቦርዱ ሊ/መንበር በመሆን የሚያገለግሉትም ግለሰብ ከሥራ አስኪያጅ ጋር የቅርብ ትስስር ያላቸውን ከአለቃቸው ጋር በቀላሉ በመወዳጀት ለጥቅም በሚያደርጉት ጥድፊያ በሠራተኛው ዘንድ በክፉ ዓይን የሚታዩ መሆናቸውን ሠራተኞች ይናገራሉ። እኚሁ የባንኩ አመራሮች ብዙሃኑን ሠራተኛ ዕድሜ ወዘተ እያሳበቡ ትምህት በመንፈግ እነርሱ ዕድሜያቸውን ቀንሰው እስከ 15ሺህ ዶላር እየተከፈለላቸው በመማር ላይ መሆናቸውን ይናገራሉ። በህክምናም ረገድ ብዙሃኑ ሠራተኛ ሁለትና ሶስት ቀን ቢቀር ልግም ነው እየተባለ ሲወነጀል ም/ሥ/አስኪያጅ በጥቁር አንበሳ ሆስፒታል ለ6 ወር አንደውም እንግሊዝ ሀገር ለ3 ወር በውጭ ምንዛሪ ሕክምና መውሰዳቸውን ይገልጣሉ። የዓለም ባንክና ዓለም አቀፍ የገንዘብ ድርጅት በጣለባት ግዴታ መሠረት በተካሄደው የመዋቅር ለውጥ ሥ/አስኪያጅ 3400 ብር መምሪያ ኃላፊዎች 2800 ብር የዋና ክፍል ኃላፊዎች ደግሞ 2150 ብር ሲመደብላቸው የቅርንጫፍ ሥ/አስኪያጆችን ጨምሮ በአጠቃላይ 70 ያህል ሰዎች የደሞዝ ዕድገት ሲደረግላቸው በሌላው 830 የድርጅቱ ሠራተኛ ያለአስተዋፅኦ መቅረቱንም ሠራተኞቹ በማማረር ይገልፃሉ። መንግሥት ጉዳዩን ትክረት ሰጥቶ እርምጃ እንዲወስድና ህልውናውን እንዲጠበቅ ሠራተኞች ጠይቀዋል።
